commit number,normalized commit number,author,date,normalized date,message,sha
0,1,Tam Nguyen,1491615917,1,User analysis paper,0ca571223827568f054275612f9df0c68bd704b2
1,0.9846153846,Tam Nguyen,1491611532,0.9993677991,Upload User Study Survey Results,625c8699007aab5199b14ee2b8cbcf9ece844d9c
2,0.9692307692,ChristineTzeng,1490019536,0.7698441167,google stats survey,9cdc31a9336ebe9525649e85fe7b76bcce8ef739
3,0.9538461538,mfarver,1489945655,0.7591924322,"User Evaluation Survey

Threat Map User Eval Questions",61f833f33161430cb98625441e9e09a83d0a2f8a
4,0.9384615385,Tam Nguyen,1489466293,0.6900811207,Update README.md,dbf2f58656d47c9270059b5e89416416639384b0
5,0.9230769231,Tam Nguyen,1489466219,0.6900704518,Update README.md,a8b2ce6099d06480e5ae46a5b4342dfd5250f036
6,0.9076923077,Tam Nguyen,1489461835,0.6894383951,generate log,0bbdfab3d85bbd65e0685d9e350068cd8cae35c0
7,0.8923076923,mfarver,1488322269,0.5251431427,"Feb Progress Report

Feb Progress Report",3a9e0b6f08f3a588ab5a109f6d7983967feea94a
8,0.8769230769,Tam Nguyen,1488221086,0.5105552324,Update README.md,d6a386c47a6f02b64534260229f64b6b16be1b82
9,0.8615384615,Tam Nguyen,1488175068,0.503920655,Upload apk file,70988e750e3331454739bdcfce6db267123cce30
10,0.8461538462,Tam Nguyen,1487878103,0.4611061628,Added intro,5324fe5e850ba3afffee18618bc5285e3ec9e222
11,0.8307692308,mfarver,1487863123,0.4589464433,Hackathon,a353680d506e7af327c1c38e10feb6430c315cea
12,0.8153846154,mfarver,1487863038,0.4589341885,Hackathon,39a003b7ad37c704ee49a958cf5791fe68aeb9fd
13,0.8,ChristineTzeng,1487812108,0.4515914307,Update README.md,edcbb1de0e5c52576aa99f02dc1844c43bb1e1b3
14,0.7846153846,Tam Nguyen,1487799980,0.4498428941,Update README.md,b049154ea2707be13472b0ad83013d3c6f39716f
15,0.7692307692,Tam Nguyen,1487797106,0.4494285394,Update README.md,990e8c198307815f8e9bb087380e613a8e9eedb5
16,0.7538461538,ChristineTzeng,1487796961,0.4494076342,Update DEVLOG.md,048ca9b7e914fc21538744b2b7650be1bca031bf
17,0.7384615385,Tam Nguyen,1487796647,0.4493623637,Add cloudant and nodeJS setup instructions,85d5f306e699f00095272fccf20981271770ad7d
18,0.7230769231,Tam Nguyen,1487792025,0.4486959937,Update README.md,82085e29c4d0e9e0c9cb3926c47ec1c708fdcc6b
19,0.7076923077,Tam Nguyen,1487769419,0.4454368069,Update README.md,0236dcd890340dcaf82761463417a7bb591d18a7
20,0.6923076923,Tam Nguyen,1487733591,0.4402713577,"Task list - update 1

-change quotes in source codes
-lean up codes
-hide buttons, add autoload behavior
-create task list request codes",1ba81544f35f70ad9217262412d5e6ece3684caf
21,0.6769230769,ChristineTzeng,1487732234,0.4400757142,nam setting file,81e05c81389cf4016e8e0bbfde0ae6a75a9aa58f
22,0.6615384615,ChristineTzeng,1487732179,0.4400677846,google trends in nodejs,936def1253e90d248ade2dda5b8ba1ab2bf6c81a
23,0.6461538462,mfarver,1487560249,0.4152800297,"READme

To Do Check List",e16ea848559f0db669cc3111850280d246c81768
24,0.6307692308,mfarver,1487557836,0.414932139,"Up dated READme

Threat Map",d3713ff31e3ff5e5e0ac0afc07bc266d424fcd28
25,0.6153846154,Tam Nguyen,1487372875,0.3882656588,"Improve personel stats

Modify app.js to add more stats to nurses (image change, task list)
Modified noSQL structure of nurse and room tables
Modify frontend js and html codes for nurse section
Upload more images for dashboard",8461fefc10c7dc9b19809f5347b340b4bff1bd89
26,0.6,Tam Nguyen,1487372650,0.3882332197,Merge remote-tracking branch 'origin/master',943bc5fee8becd6d443d2b27489719133cfcab24
27,0.5846153846,mfarver,1487360055,0.3864173541,Scenario's,b3cd41d76d3008c26f01024be4972c3c692ff107
28,0.5692307692,mfarver,1487355569,0.3857705917,"Scenario's

Example Scenario's",fa703d0a9376c7bc05012d5f6e311156eadfde56
29,0.5538461538,mfarver,1487349547,0.3849023787,"Threat Level Variables

Threat Level Variables.",ae6edaa31db2ad28e8bdf9fbd60648e2c4e764d8
30,0.5384615385,Tam Nguyen,1487300561,0.3778398941,"more code lean up

Removed irrelevant html and nodes functions",fa1122e7145cd28c962b7d11f253d5deeb304aeb
31,0.5230769231,Tam Nguyen,1487275959,0.374292937,"Lean up codes, remove artifacts

Lean up codes, remove artifacts from IBM sample",7de0400751e200c7e66dc0f98e1b7a2ee13af2c9
32,0.5076923077,mfarver,1487101607,0.3491559937,"AutoRefesh

Threat Map view Controller, Auto Refresh",c34ae9e4542bda9738c393dd2b85f6a8c3bee270
33,0.4923076923,mfarver,1487101246,0.3491039471,"README Intro

README Intro",6038d0cd1c12a2aba1331624b66a6e93e7834f8d
34,0.4769230769,mfarver,1487101025,0.3490720847,"Merge branch 'master' of https://github.com/genterist/whiteWolf

# Conflicts:
#	Matt_UI_Code/All_Code/Test.txt",cafc2f304df441947ddc1355687d2fea3960406c
35,0.4615384615,Tam Nguyen,1486956099,0.3281775918,Uploaded graphic files to project's graphic library,ac2c9e8541391a6624c120dc0118a8865200ec07
36,0.4461538462,Tam Nguyen,1486918304,0.3227285533,Updated UI and auto refresh of room stats,a567ac946b6520e4fdf21afc37a570d67fd21a0b
37,0.4307692308,Tam Nguyen,1486825609,0.3093643879,Admin console Upgraded,9f74d8ef91a6a1ef39096755240f88778ac5a11a
38,0.4153846154,Tam Nguyen,1486761880,0.3001763531,"Code to load Room stats

modified app.js and name_actions.js to fully load room stats",175a08a5e45d8beda5473f367ffcc513e930ca84
39,0.4,mfarver,1486760420,0.2999658597,Project_Code_Matt,b76a0d0f2ba92fde68ba762052bdb3467ffb8612
40,0.3846153846,mfarver,1486760183,0.2999316906,Testing,188e61d4e600af9434cc3267992c5a09273b1ce6
41,0.3692307692,ChristineTzeng,1486676788,0.2879083391,draft of back up plan - threat map (in php with Codeigniter),9bf8c0c012c517a8e9f1fc946b01f326c10f7b0e
42,0.3538461538,Tam Nguyen,1486671432,0.2871361457,"Cloudant and NodeJS mode

Update button function in name_actions.js
Modify app.get(/view_rooms)
- change DB table
- remove cvs export feature
- change DB queries
Modify app.get(/view_rooms) and name_actions.js - add more fields to
room stats display",1c730f8e2dbfbed1724383278c448c9e7c09930b
43,0.3384615385,Tam Nguyen,1486652504,0.2844072291,Update DEVLOG.md,a68873909ea1218792720ff7804e722144af78be
44,0.3230769231,mfarver,1486587361,0.2750153329,Test-UI Code Object-C,92e2ed5dac33cbd6452ff4ddd8d53db81fa15073
45,0.3076923077,mfarver,1486587053,0.2749709274,node.js Code,f6db858922a96f2d577e93eab1720856faa5a451
46,0.2923076923,mfarver,1486504112,0.2630130307,Create Matt-TestCode,97a5dafe0669cf76b800379f5d7a3a15310eecc2
47,0.2769230769,Tam Nguyen,1486495556,0.261779482,Rename PodInstall-ReadME.md to PodInstall.md,4b35dd1093950393f3abc9ba04ab139794a2bc15
48,0.2615384615,Tam Nguyen,1486495049,0.261706386,Update and rename devLog.md to DEVLOG.md,2fd10c750da89d438126fc0c694cdd43bdd803f3
49,0.2461538462,Tam Nguyen,1486494236,0.2615891729,Create devLog.md,6c61a3d1a6aedf32f3b773f679243215ef40de16
50,0.2307692308,ChristineTzeng,1486415044,0.2501717828,source tree test,50e1960547489e186417feb7fb11a8d6a404d18c
51,0.2153846154,Tam Nguyen,1486398599,0.2478008491,test credential,a636715b08b7c6053012c7caace445f834831062
52,0.2,Tam Nguyen,1486398045,0.2477209769,test commit,08a319f86689984885614f3102c1d5d2d4174ede
53,0.1846153846,Tam Nguyen,1486397287,0.2476116934,test,ba59387b51befd050d2a5eac1aa4748b086c90e6
54,0.1692307692,Tam Nguyen,1486396789,0.247539895,test credential,c763f736bab14d068fcc6b2dd35ea7e89303f806
55,0.1538461538,Tam Nguyen,1486396403,0.247484244,test,a5b910afcf1dfc6252fa30831bbd60fac6d302b0
56,0.1384615385,Tam Nguyen,1486395533,0.247358813,"Initial BlueMix code gen

+Place holder codes
+Credentials are not shared between team members
+Advanced mobil and db features are not synced",5bd67ec31e1ca25259df51b49e483fe199450383
57,0.1230769231,Tam Nguyen,1486394995,0.2472812477,"Revert ""Initial IBM BlueMix code gen""

This reverts commit 914e5e0613e0076bacdaf77f7917c5eb88e5fa18.",515b5b72f51ea90d9142ae30e6c076732b4223b2
58,0.1076923077,Tam Nguyen,1486394600,0.2472242991,"Initial IBM BlueMix code gen

+Place holder codes
+Credentials are not shared between team members
+Advanced mobil and db features are not synced",914e5e0613e0076bacdaf77f7917c5eb88e5fa18
59,0.0923076923,Tam Nguyen,1485896646,0.1754325134,original upload,af6a04605f1fcf1c74925b065d9c686a8804b0cd
60,0.0769230769,Tam Nguyen,1484715503,0.0051429581,Create Progress.md,9727bd6faf24961a62e2b369737c7ba57524f909
61,0.0615384615,Tam Nguyen,1484714069,0.0049362133,Create LICENSE.md,4c98469389900e0871da55004e1c92c9fb3787fa
62,0.0461538462,Tam Nguyen,1484713933,0.0049166057,Create CONTRIBUTING.md,48fa1c543faceef6dabf965d5d879a01850feaef
63,0.0307692308,Tam Nguyen,1484713850,0.0049046393,Update README.md,fedc21a0a184df994faa26f36f2ef807e4a6b9c8
64,0.0153846154,Tam Nguyen,1484679966,1.94634264915061E-005,Update README.md,8c8f0aa44f1eca17c0cb15fdf452e1641f138964
65,0,Tam Nguyen,1484679831,0,Initial commit,c9d7f3ecce5158e2914d08d079e35eb1937196c0
